benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",253,5494090,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",250,5494090
11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",32,253221,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",35,253221
17212077.sl,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",103,1425168,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",107,1425168
2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",8,10945,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",13,10945
25239569.sl,Success,"_arg_0.replace(""BRD"", ""Branding"").replace(""DRS"", ""Direct Response"").replace(""LDS"", ""Leads"")",13,60594,Success,"_arg_0.replace(""BRD"", ""Branding"").replace(""DRS"", ""Direct Response"").replace(""LDS"", ""Leads"")",18,60594
28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3,4613,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3,4613
30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",42,370520,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",42,370520
31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",589,24185850,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",608,24185850
33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",5177,103007332,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",4928,103007332
34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7,16756,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7,16756
35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2439,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2439
35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",70,1719193,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",69,1719193
36462127.sl,Success,"_arg_0.Substr(((-1 + -1) - _arg_0.IndexOf(""/"")),_arg_0.Length()).replace(""/"", """")",15,140851,Success,"_arg_0.Substr(((-1 + -1) - _arg_0.IndexOf(""/"")),_arg_0.Length()).replace(""/"", """")",17,140851
37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1,1532,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1,1532
