1-benchmark,1-ags_bee_search_result,1-ags_bee_search_program,1-ags_bee_search_time,1-ags_bee_search_evaluations,1-bee_search_result,1-bee_search_program,1-bee_search_time,1-bee_search_evaluations,2-benchmark,2-ags_bee_search_result,2-ags_bee_search_program,2-ags_bee_search_time,2-ags_bee_search_evaluations,2-bee_search_result,2-bee_search_program,2-bee_search_time,2-bee_search_evaluations,3-benchmark,3-ags_bee_search_result,3-ags_bee_search_program,3-ags_bee_search_time,3-ags_bee_search_evaluations,3-bee_search_result,3-bee_search_program,3-bee_search_time,3-bee_search_evaluations,4-benchmark,4-ags_bee_search_result,4-ags_bee_search_program,4-ags_bee_search_time,4-ags_bee_search_evaluations,4-bee_search_result,4-bee_search_program,4-bee_search_time,4-bee_search_evaluations,5-benchmark,5-ags_bee_search_result,5-ags_bee_search_program,5-ags_bee_search_time,5-ags_bee_search_evaluations,5-bee_search_result,5-bee_search_program,5-bee_search_time,5-bee_search_evaluations
11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",109.0,1725787.0,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",106.0,1725787.0,11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",253.0,5494090.0,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",250.0,5494090.0,11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",153.0,2642790.0,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",147.0,2642790.0,11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",235.0,4693001.0,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",233.0,4693001.0,11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",154.0,3037523.0,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",147.0,3037523.0
11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",38.0,223632.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",36.0,223632.0,11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",32.0,253221.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",35.0,253221.0,11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",29.0,235266.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",31.0,235266.0,11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",38.0,275383.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",38.0,275383.0,11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",29.0,255741.0,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",27.0,255741.0
17212077.sl,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",93.0,912116.0,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",86.0,912116.0,17212077.sl,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",103.0,1425168.0,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",107.0,1425168.0,17212077.sl,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",149.0,2663029.0,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",150.0,2663029.0,17212077.sl,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",120.0,1800363.0,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",114.0,1800363.0,17212077.sl,Success,"concat(concat(concat(0.IntToStr(), _arg_0.CharAt(1)), ""/""), _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))",101.0,1250603.0,Success,"concat(concat(concat(0.IntToStr(), _arg_0.CharAt(1)), ""/""), _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))",92.0,1250603.0
2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",8.0,5869.0,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",8.0,5869.0,2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",8.0,10945.0,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",13.0,10945.0,2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7.0,9522.0,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7.0,9522.0,2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",10.0,15419.0,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",10.0,15419.0,2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",5.0,7287.0,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7.0,7287.0
25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",15.0,47994.0,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",13.0,47994.0,25239569.sl,Success,"_arg_0.replace(""BRD"", ""Branding"").replace(""DRS"", ""Direct Response"").replace(""LDS"", ""Leads"")",13.0,60594.0,Success,"_arg_0.replace(""BRD"", ""Branding"").replace(""DRS"", ""Direct Response"").replace(""LDS"", ""Leads"")",18.0,60594.0,25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",18.0,92913.0,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",18.0,92913.0,25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",12.0,45065.0,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",12.0,45065.0,25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",20.0,157659.0,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",20.0,157659.0
28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",5.0,4168.0,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",4.0,4168.0,28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3.0,4613.0,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3.0,4613.0,28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3.0,4580.0,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3.0,4580.0,28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3.0,5697.0,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",5.0,5697.0,28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",2.0,2859.0,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",2.0,2859.0
30732554.sl,Success,"_arg_0.Substr(0,(((_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0) + -1) % _arg_0.Length()) + 1))",64.0,601309.0,Success,"_arg_0.Substr(0,(((_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0) + -1) % _arg_0.Length()) + 1))",58.0,601309.0,30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",42.0,370520.0,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",42.0,370520.0,30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",39.0,242648.0,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",41.0,242648.0,30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,((-1 - (1 + 1)) * (1 + 1))) else _arg_0)",133.0,1716446.0,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,((-1 - (1 + 1)) * (1 + 1))) else _arg_0)",134.0,1716446.0,30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",35.0,211524.0,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",36.0,211524.0
31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",427.0,16079425.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",419.0,16079425.0,31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",589.0,24185850.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",608.0,24185850.0,31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",570.0,22448199.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",566.0,22448199.0,31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",407.0,15202192.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",394.0,15202192.0,31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",486.0,18514316.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",475.0,18514316.0
33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",6006.0,112411333.0,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",5771.0,112411333.0,33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",5177.0,103007332.0,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",4928.0,103007332.0,33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",1037.0,17539994.0,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",1021.0,17539994.0,33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",4176.0,79760681.0,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",3984.0,79760681.0,33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",7836.0,147006723.0,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",7377.0,147006723.0
34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",12.0,28274.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",13.0,28274.0,34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7.0,16756.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7.0,16756.0,34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7.0,13217.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6.0,13217.0,34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6.0,15523.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6.0,15523.0,34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",8.0,14447.0,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7.0,14447.0
