Number,Model Number,Augmented
1,02,True
1,03,True
1,04,True
1,05,True
2,02,True
2,03,True
2,04,True
2,05,True
3,02,True
3,03,True
3,04,True
3,05,True
4,02,True
4,03,True
4,04,True
4,05,True
5,02,True
5,03,True
5,04,True
5,05,True
6,02,True
6,03,True
6,04,True
6,05,True
7,02,True
7,03,True
7,04,True
7,05,True
8,01,True
8,02,True
8,03,True
8,04,True
8,05,True
9,01,True
9,02,True
9,03,True
9,04,True
9,05,True
10,01,True
10,02,True
10,03,True
10,04,True
10,05,True
11,01,True
11,02,True
11,03,True
11,04,True
11,05,True
12,01,True
12,02,True
12,03,True
12,04,True
12,05,True
13,01,True
13,02,True
13,03,True
13,04,True
13,05,True
14,01,True
14,02,True
14,03,True
14,04,True
14,05,True
15,01,True
15,02,True
15,03,True
15,04,True
15,05,True
16,01,True
16,02,True
16,03,True
16,04,True
16,05,True
17,01,True
17,02,True
17,03,True
17,04,True
17,05,True
18,01,True
18,02,True
18,03,True
18,04,True
18,05,True
19,01,True
19,02,True
19,03,True
19,04,True
19,05,True
20,01,True
20,02,True
20,03,True
20,04,True
20,05,True
21,01,True
21,02,True
21,03,True
21,04,True
21,05,True
22,01,True
22,02,True
22,03,True
22,04,True
22,05,True
23,01,True
23,02,True
23,03,True
23,04,True
23,05,True
24,01,True
24,02,True
24,03,True
24,04,True
24,05,True
25,01,True
25,02,True
25,03,True
25,04,True
25,05,True
26,01,True
26,02,True
26,03,True
26,04,True
26,05,True
27,01,True
27,02,True
27,03,True
27,04,True
27,05,True
28,01,True
28,02,True
28,03,True
28,04,True
28,05,True
29,01,True
29,02,True
29,03,True
29,04,True
29,05,True
30,01,True
30,02,True
30,03,True
30,04,True
30,05,True
31,01,True
31,02,True
31,03,True
31,04,True
31,05,True
32,01,True
32,02,True
32,03,True
32,04,True
32,05,True
33,01,True
33,02,True
33,03,True
33,04,True
33,05,True
34,01,True
34,02,True
34,03,True
34,04,True
34,05,True
35,01,True
35,02,True
35,03,True
35,04,True
35,05,True
36,01,True
36,02,True
36,03,True
36,04,True
36,05,True
37,01,True
37,02,True
37,03,True
37,04,True
37,05,True
38,01,True
38,02,True
38,03,True
38,04,True
38,05,True
39,01,True
39,02,True
39,03,True
39,04,True
39,05,True
40,01,True
40,02,True
40,03,True
40,04,True
40,05,True
41,01,True
41,02,True
41,03,True
41,04,True
41,05,True
42,01,True
42,02,True
42,03,True
42,04,True
42,05,True
43,01,True
43,02,True
43,03,True
43,04,True
43,05,True
44,01,True
44,02,True
44,03,True
44,04,True
44,05,True
45,01,True
45,02,True
45,03,True
45,04,True
45,05,True
46,01,True
46,02,True
46,03,True
46,04,True
46,05,True
47,01,True
47,02,True
47,03,True
47,04,True
47,05,True
48,01,True
48,02,True
48,03,True
48,04,True
48,05,True
49,01,True
49,02,True
49,03,True
49,04,True
49,05,True
50,01,True
50,02,True
50,03,True
50,04,True
50,05,True
51,01,True
51,02,True
51,03,True
51,04,True
51,05,True
52,01,True
52,02,True
52,03,True
52,04,True
52,05,True
53,01,True
53,02,True
53,03,True
53,04,True
53,05,True
54,01,True
54,02,True
54,03,True
54,04,True
54,05,True
55,01,True
55,02,True
55,03,True
55,04,True
55,05,True
56,01,True
56,02,True
56,03,True
56,04,True
56,05,True
57,01,True
57,02,True
57,03,True
57,04,True
57,05,True
58,01,True
58,02,True
58,03,True
58,04,True
58,05,True
59,01,True
59,02,True
59,03,True
59,04,True
59,05,True
60,01,True
60,02,True
60,03,True
60,04,True
60,05,True
61,01,True
61,02,True
61,03,True
61,04,True
61,05,True
62,01,True
62,02,True
62,03,True
62,04,True
62,05,True
63,01,True
63,02,True
63,03,True
63,04,True
63,05,True
64,01,True
64,02,True
64,03,True
64,04,True
64,05,True
65,01,True
65,02,True
65,03,True
65,04,True
65,05,True
66,01,True
66,02,True
66,03,True
66,04,True
66,05,True
67,01,True
67,02,True
67,03,True
67,04,True
67,05,True
68,01,True
68,02,True
68,03,True
68,04,True
68,05,True
69,01,True
69,02,True
69,03,True
69,04,True
69,05,True
70,01,True
70,02,True
70,03,True
70,04,True
70,05,True
71,01,True
71,02,True
71,03,True
71,04,True
71,05,True
72,01,True
72,02,True
72,03,True
72,04,True
72,05,True
73,01,True
73,02,True
73,03,True
73,04,True
73,05,True
74,01,True
74,02,True
74,03,True
74,04,True
74,05,True
75,01,True
75,02,True
75,03,True
75,04,True
75,05,True
76,01,True
76,02,True
76,03,True
76,04,True
76,05,True
77,01,True
77,02,True
77,03,True
77,04,True
77,05,True
78,01,True
78,02,True
78,03,True
78,04,True
78,05,True
79,01,True
79,02,True
79,03,True
79,04,True
79,05,True
80,01,True
80,02,True
80,03,True
80,04,True
80,05,True
81,01,True
81,02,True
81,03,True
81,04,True
81,05,True
82,01,True
82,02,True
82,03,True
82,04,True
82,05,True
83,01,True
83,02,True
83,03,True
83,05,True
84,01,True
84,02,True
84,03,True
84,04,True
84,05,True
85,01,True
85,02,True
85,03,True
85,04,True
85,05,True
86,01,True
86,02,True
86,03,True
86,04,True
86,05,True
87,01,True
87,02,True
87,03,True
87,04,True
87,05,True
88,02,True
88,03,True
88,04,True
88,05,True
