arg0,arg1,arg2
Adf_ROCLeader_BAN_728x90_CPM_STD _Branding _NRT_DCK,MMC_ContextualLarRec_BAN_336x280_CPM_STD _Leads _RTG_DCK,Adf_ROC_DLBD_728x90_CPM_STD_Direct Response_NRT_NOR_DCK
Westerkerk HRL,,Westerkerk HRL
_username,_name,_name1
"R/V<208,0,32>","R/S<184,28,16>","R/B<255,88,80>"
ogawa,johnson,chang
N.F.,A.C.,J.K.
year= 2016,make= subaru,model= outback wagon
01/15/2013,03/07/2011,05/09/2009
Traci Brown,Mary Hannan,Linda Thomas
"Phialdelphia, PA, USA","Los Angeles, CA","Ithaca, New York, USA"
TL-18273982,TL-288762,CT-576
34653 jim mcdonald,price is 500,100 apples
"Saginaw, MI 48607","Lansing, MI 48933","Allen, KY 41601"
J Doe,M Naik,N Singh
801-456-8765,<978> 654-0299,978.654.0299
FreeHafer,Cencici,Kotas
time,evil,life
8014568765,9786540299,9786540299
c=/users/dave/shotcut.xls,c=/users/dave/formulas.xls,c=/users/dave/pivot table.xls
C0abc,aabc,C0dd
ensures,will,have
858,757,787
def,def,qwe
"Traci Brown/n1301 Robinson Court/nSaginaw, MI 48607","Mary Hannan/n1195 Amethyst Drive/nLansing, MI 48933","Linda Thomas/n2479 North Bend Road/nAllen, KY 41601"
Ducati,Honda,Ducati
"University of Pennsylvania, Phialdelphia, PA, USA","Cornell University, Ithaca, New York, USA","University of Maryland College Park, College Park, MD"
The,quick,
769,973,647
Nancy,Andrew,Jan
this is a _username in the middle,twitter names look like= _name,with two _name1 and _name2
438,831,775
+106 769-858-438,+83 973-757-831,+62 647-787-775
Trucking,New Truck,ABV Trucking
938.242.504,308.916.545,623.599.749
General Electric,General Electric Inc,General Electric Company
Adf_ROCLeader_BAN_728x90_CPM_STD _BRD _NRT_DCK,MMC_ContextualLarRec_BAN_336x280_CPM_STD _LDS _RTG_DCK,Adf_ROC_DLBD_728x90_CPM_STD_DRS_NRT_NOR_DCK
happy,pivot table,sales data
ABC123873,ABC849999999021,GHF211
C0abc,def,C0dd
TL-18273982| 10MM,TL-288762| 76DK,CT-576
Mining US,Soybean Farming CAN,Soybean Farming
938-242-504,308-916-545,623-599-749
0.66,0.409,0.7268
thatensures,thatwill,thathave
+106 (769) 858-438,+83 (973) 757-831,+62 (647) 787-775
ann,,t.
https=//abc.com/def,http=//www.abc.com/def/cef,http=//chandoo.org/wp/def-def
AIX 5.1,VMware ESX Server 3.5.0 build-110268,Linux Linux 2.6 Linux
ayako,amy,tom
2283-332-44543 CAP DDT PPL445_ HEEN PAX 77820,44372-33-3223 TYYTE CAP BOX 1550 244 BOX PPSSA223_ PAX,PRECISE 77 CLEAR BLUE 99WIE_ BOX 4403 PAX SSKA
https=//exceljet.net/catalog,https=//microsoft.com,ftp=//someserver.com
cat,red,soft
brown,thomas,ward
Polygonum amphibium,Hippuris vulgaris,Lysimachia vulgaris
achang,bobt,art.lennox
Susan Ann Chang,Ayako Tanaka,Bobby T. smth
242,916,599
"Phialdelphia, PA, USA","Los Angeles, CA, USA","Ithaca, NY, USA"
(938) 242-504,(308) 916-545,(623) 599-749
2016,subaru,outback wagon
"Phialdelphia, PA, USA","Los Angeles, CA, USA","Ithaca, New York, USA"
The quick brown fox.,quick brown fox.,fox
"University of Pennsylvania, Phialdelphia, PA, USA","UCLA, Los Angeles, CA, USA","Cornell University, Ithaca, New York, USA"
938,308,623
happy.jpg,pivot table.xls,sales data.csv
maaker.com,sphynx.uk.co,svxn.com
April 1 1799,April 11 1867,February 12 1806
"chang,amy","smith,bobby","lennox,aaron"
ann chang,bobby smith,art lennox
shotcut.xls,formulas.xls,pivot table.xls
zx66448,zx66448,zx66448
General Electric,General Electric,General Electric
https=//abc.com/,http=//www.abc.com,http=//chandoo.org/
University of Pennsylvania,UCLA,Cornell University
106.769.858.438,83.973.757.831,62.647.787.775
Park Kim,Lee Kim,Kim Lee
"11/15/2015-follow-up,interested",12/3/2015-order placed,11/1/2015 - First call
"amy,chang","bobby,smith","aaron,lennox"
The shawshank,The    godfather,pulp   fiction
focus on one thing at a time,premature opt is the root of all evil,where is life
The shawshank,The godfather,pulp fiction
z,x,6
Withers Launa,Edison Lakenya,Hage Brendan
100,500,003399
"Withers, L.","Edison, L.","Hage, B."
geb. 14 oct 1956 Westerkerk HRL,geb. 14 oct 1956,geb. 15 feb 1987 Westerkerk HRL
-%134,500,5.125
1301 Robinson Court,1195 Amethyst Drive,2479 North Bend Road
susan ann chang,ayako tanaka,bobby t. smith
1799,1867,1806
"Phialdelphia, PA, USA","Ithaca, New York, USA","College Park, MD"
EUR,USD,WON
cat,blue,firm
"one, 1","two, 2","three, 3"
L. Withers,L. Edison,B. Hage
 jim mcdonald, price is , apples
John Doe,Mayur Naik,Nimit Singh
504,545,749
x66448,z66448,zx448
Ducati100,Honda125,Ducati250
acme.com,google.com,upenn.edu
100 apples,the price is %500 dollars,serial number %003399
Trucking Inc.,New Truck Inc,"ABV Trucking Inc, LLC"
01/2013,03/2011,05/2009
traci,linda,jack
tbrown_acme.com,lthomas_acme.com,jward_acme.com
<b>0.66<b>,<b>0.409<b>,<b>0.7268<b>
com,net,uk
University of Pennsylvania,Cornell University,University of Maryland College Park
http=//www.apple.com/uk/mac,https=//www.microsoft.com/en-gb/windows,https=//www.microsoft.com/
Kim,Kim,Lee
Tire Pressure ABC123873 Monitor,Oil Life ABC849999999021 gauge,Air conditioner GHF211 maintenance
exceljet.net/catalog,microsoft.com,someserver.com
Susan,Ayako,Bobby
Mining,Soybean Farming,Soybean Farming
%134,500,5.125
Nancy FreeHafer,Andrew Cencici,Jan Kotas
achang_maaker.com,bobt_sphynx.uk.co,art.lennox_svxn.com
Launa,Lakenya,Brendan
Launa Withers,Lakenya Edison,Brendan Hage
one apple,two bananas,three strawberries
106,83,62
Polygonum,Hippuris,Lysimachia
mac,windows,microsoft
Withers,Edison,Hage
Dr. Nancy,Dr. Andrew,Dr. Jan
"USD.EUR<IDEALPRO,CASH,EUR>","USD.EUR<IDEALPRO,CASH,USD>","KOR.JPN<IDEALPRO,CASH,WON>"
Nancy F.,Andrew C.,Jan K.
R/V 208 0 32,R/S 184 28 16,R/B 255 88 80
"11/1/2015 - First call/n12/3/2015-order placed/n11/15/2015-follow-up,interested",11/1/2015 - First call/n12/3/2015-order placed,11/1/2015 - First call
HEEN PAX 77820,PAX,BOX 4403 PAX SSKA
cat,red,firm
5.1,3.5,2.6
www.domain.com,mail.net,www.amaon.co.uk
aogawa_acme.com,ajohnson_google.com,tchang_upenn.edu
dog,red,firm
